"sponser_name","sponser_level","sponser_city","sponser_state","sponser_country","sponser_description","sponser_website","sponser_linkedin","sponser_page_url"
"Bringg","Silver Level Sponsor","Tel Aviv","","Israel","E-commerce is a core part of today’s business, which puts immediate pressure on retailers to offer the best customer experience while lowering costs.       Bringg is a Delivery Management Platform (DMP) – that is all about efficiency. We manage and unify your delivery and returns operations whether you use your own drivers, external delivery providers, and also offer your customers with various pick up options.        Bringg serves over 100 market leading brands such as, Raymour & Flanigan, H&M, Imperfect Foods, RBI, Chick-fil-A, Wegmans, COOP, ADEO, Asda, Goodyear, Autozone and more, allowing them to turn delivery and returns experiences into brand and growth drivers.","https://www.bringg.com/","","https://nrfbigshow.nrf.com/company/bringg"
"fabric","Silver Level Sponsor","Seattle","WA","United States","fabric’s mission is to accelerate the GMV of the Internet by ending the pain of replatforming.  By democratizing access to best-in-class digital commerce tooling, fabric allows merchants who aren’t served well by Shopify, Oracle, or Salesforce (and other hosted platforms) to thrive in an e-commerce world. Customers like BuildDirect, and GNC trust fabric for its open and modular design that allows them to be live within just a few months without having to replatform. fabric is a force multiplier on retailers’ existing technology investments proven to grow digital revenue by up to 3x. Headquartered in the Cloud Capital Seattle, Washington, with offices and customers around the world, fabric is backed by SoftBank, Glynn Capital, Forerunner Ventures, Stripes, B Capital Group, Greycroft, Norwest Venture Partners, Redpoint Ventures, Sierra Ventures, Innovation Global Capital, Ascend Venture Capital, and Expa. To learn more, visit https://fabric.inc.","https://fabric.inc","https://www.linkedin.com/company/teamfabric/","https://nrfbigshow.nrf.com/company/fabric"
"Glassbox","Silver Level Sponsor","New York","NY","United States","Glassbox empowers organizations to create frictionless digital journeys for their customers. Our digital experience analytics platform works in real time across mobile apps and the web to accelerate loyalty and growth. Hundreds of enterprises across multiple industries have chosen Glassbox for easy, secure and private cloud-based deployments.","https://www.glassbox.com/","https://www.linkedin.com/company/glassbox-solutions/","https://nrfbigshow.nrf.com/company/glassbox"
"Maersk","Silver Level Sponsor","Florham Park","NJ","United States","A.P. Moller - Maersk’s vision is to become the Global Integrator   Increasing complexity in global supply chains is making them inefficient, vulnerable and unsustainable. At Maersk, our strategic vision is to become the Global Integrator, offering truly integrated logistics solutions that connect, protect and simplify our customers’ supply chains. Maersk stats at a glance Our vision is transforming logistics across oceans, continents, flightpaths, platforms and networks. The numbers speak for themselves. 100,000+employees 730+container vessels deployed 67terminals across 42 countries 130countries 100,000+customers 3bn business events on maersk.com 3m+ SQM warehousing capacity worldwide 2040 Net Zero climate-neutral across our business","https://www.maersk.com/","https://www.linkedin.com/company/maersk-group/mycompany/","https://nrfbigshow.nrf.com/company/maersk"
"MIRAKL, INC","Silver Level Sponsor","Somerville","MA","United States","Mirakl offers the industry’s first and most advanced enterprise marketplace SaaS platform. With Mirakl, organizations across B2B and B2C industries can launch marketplaces faster, grow bigger, and operate with confidence as they exceed rising customer expectations. Platforms are the new competitive advantage in eCommerce, and the world’s most trusted brands choose Mirakl for its comprehensive solution of technology, expertise, and the Mirakl Connect ecosystem to unlock the power of the platform business model for them. As a result, companies like Bed Bath & Beyond, Carrefour, Catch, Darty, Express, Galeries Lafayette, The Kroger Co., Leroy Merlin, and Maisons du Monde, and Macy's gain the speed, scale and agility to win in the changing eCommerce landscape. For more information: www.mirakl.com.","https://www.mirakl.com/","","https://nrfbigshow.nrf.com/company/mirakl-inc"
"NewStore","Silver Level Sponsor","Boston","MA","United States","NewStore is a turnkey omnichannel store solution for global DTC brands. In over 20 countries, the company delivers Omnichannel-as-a-Service with the first cloud platform combining POS, order management, inventory, and clienteling. Store operations from endless aisle to mobile checkout to fulfillment are possible with just two remarkably intuitive iPhone apps. NewStore customers include brands such as Burton Snowboards, Decathlon, GANNI, Goorin Bros, Marine Layer, Outdoor Voices, and UNTUCKit. It is backed by General Catalyst, Activant Capital, and Salesforce Ventures. Learn more at www.newstore.com.","http://www.newstore.com","","https://nrfbigshow.nrf.com/company/newstore"
"Sprinklr","Silver Level Sponsor","New York","NY","United States","","http://www.sprinklr.com","https://www.linkedin.com/company/sprinklr/","https://nrfbigshow.nrf.com/company/sprinklr"
"Stibo Systems","Silver Level Sponsor","Atlanta","GA","United States","Stibo Systems has proven to be an outstanding SaaS Master Data management solution serving hundreds of companies around the globe in different retail and consumer industries such as grocery, apparel, home improvement/DIY, hardlines, health and beauty, hospitality and automotive products. Stibo Systems retail solution leverages the strengths of a single, open, integrated and compoundable, flexible, automated and efficient data platform and combines them with industry best practices materialized in predefined data models, workflows and data governance processes to speed up business value in the form of reduced time to value, improved omnichannel execution, extended data traceability or better customer experiences, while supporting sustainability initiatives and reducing operational risk. Leading retail companies including M&S, Advance Auto Parts, Best Buy, Auchan Retail and Mitchells & Butlers rely on Stibo Systems to unlock the power of their data. Learn more at stibosystems.com.","https://www.stibosystems.com","https://www.linkedin.com/company/stibosystems/","https://nrfbigshow.nrf.com/company/stibo-systems"
"Treasure Data","Silver Level Sponsor","Mountain View","CA","United States","Treasure Data Customer Data Cloud helps enterprises use all of their customer data to improve campaign performance, achieve operational efficiency, and drive business value with connected customer experiences. Our suite of customer data platform solutions integrates customer data, connects identities in unified customer profiles, applies privacy, and makes insights and predictions available for Marketing, Service, Sales and Operations to drive personalized engagement and improve customer acquisition, sales, and retention.       Treasure Data is trusted by hundreds of Fortune 500 and Global 2000 companies, has won numerous awards, and has been named a strong performer and leader by top analyst firms. Headquartered in Mountain View, CA, Treasure Data has offices in Japan, South Korea, England and France to help leading brands around the world make the connection. To learn more, visit www.treasuredata.com.","https://www.treasuredata.com","https://www.linkedin.com/company/treasure-data-inc-/","https://nrfbigshow.nrf.com/company/treasure-data"
"Visa","Silver Level Sponsor","Foster City","CA","United States","","","","https://nrfbigshow.nrf.com/company/visa"
"Workday","Silver Level Sponsor","Pleasanton","CA","United States","Workday is a leading provider of enterprise cloud applications. Founded in 2005, Workday combines HR, payroll, finance, planning, and analytics in a single cloud-based, global, mobile-ready system to help retailers focus resources on driving growth and profitability. Workday can help retailers increase operational efficiency across channels, transform for new business models, attract and retain top talent to increase customer lifetime value, and avoid compliance risks and costly penaltis to protect consumer trust.","https://www.workday.com/","https://www.linkedin.com/company/workday/mycompany/verification/","https://nrfbigshow.nrf.com/company/workday"
"WorkJam","Silver Level Sponsor","Montreal","QC","Canada","WorkJam’s mission is to revolutionize the way HQs and their frontline work together. As the world leader in the digital frontline workplace, WorkJam combines two-way communication, task management, learning, scheduling tools and more to drive efficiencies and productivity. Available in over 45 languages, WorkJam turns workflow chaos into workforce orchestration®. HQs love it for its ROI (a whopping 410%) and employees love it because it puts workplace competencies right into their hands. If we want a happier frontline, we need to support them as individuals with upskilling, shift scheduling, and processes – all on one app. #WorkJamYourFrontline","https://www.workjam.com/","https://www.linkedin.com/company/workjam","https://nrfbigshow.nrf.com/company/workjam"
"YOOBIC","Silver Level Sponsor","New York","NY","United States","YOOBIC is the #1 Frontline Experience Platform designed to create the most engaging and productive digital workplace for frontline teams. It equips employees with tools for communication, training, and task management — all in the flow of work. The YOOBIC app is mobile, social, gamified, personalized, and AI-powered. 300+ global brands including Roots, Boots, Burgerfi, Untuckit, Lancôme, Lacoste, Peloton, Levi’s and Timberland rely on YOOBIC to drive frontline success. To learn more, go to www.yoobic.com Retail leaders rely on YOOBIC to: Get visibility into the execution of merchandising, promotions and retail processes Improve consistency in performance and compliance across their store network Simplify and speed up operational store processes Easy and quickly communicate HQ and regional messages to store managers and field employees Effectively and easily onboard and train store teams","http://www.yoobic.com","https://www.linkedin.com/company/5143366/admin/","https://nrfbigshow.nrf.com/company/yoobic"
"ACI Worldwide","Bronze Level Sponsor","Miami","FL","United States","ACI Worldwide is a global software company that delivers mission-critical real-time payment solutions to corporations. Customers use our proven, scalable solutions to process and manage digital payments, enable omni-commerce payments, present and process bill payments, and manage fraud and risk. We combine our global footprint with local presence to drive the real-time digital transformation of payments and commerce. Visit us at www.aciworldwide.com","http://www.aciworldwide.com","https://www.linkedin.com/company/aci-worldwide","https://nrfbigshow.nrf.com/company/aci-worldwide"
"Adobe","Bronze Level Sponsor","San Jose","CA","United States","","https://www.adobe.com/commerce/magento.html","","https://nrfbigshow.nrf.com/company/adobe"
"Anaplan","Bronze Level Sponsor","San Francisco","CA","United States","Anaplan is a transformative way to see, plan, and run your business. Using our proprietary Hyperblock™ technology, Anaplan lets you contextualize real-time performance, and forecast future outcomes for faster, confident decisions. Anaplan enables connected strategy and planning across your enterprise to move your business forward. Based in San Francisco, Anaplan has over 200 partners and more than 2,000 customers worldwide. To learn more, visit www.anaplan.com.","http://www.anaplan.com","https://www.linkedin.com/company/anaplan/","https://nrfbigshow.nrf.com/company/anaplan"
"Anyline Inc.","Bronze Level Sponsor","Fort Lee","NJ","United States","Anyline brings Barcode Scanning to mobile devices. Anyline helps to streamline processes in shelf management, scan & go, and many other retail use cases. Anyline SDK runs on all major mobile platforms, supports the most popular cross-platform technologies for mobile development and can also be integrated in web applications.  Anyline scans the hardest to read objects, including scratched, torn and warped labels Anyline offers an unrivalled customer experience that creates a seamless connection between the physical and the digital  By leveraging a wealth of real-world data, Anyline delivers actionable insights and recommendations that promote transparency and maximize business value.","https://anyline.com/","https://www.linkedin.com/company/anyline/","https://nrfbigshow.nrf.com/company/anyline-inc"
"Appriss Retail","Bronze Level Sponsor","Louisville","KY","United States","Appriss Retail, a division of Appriss Inc., provides artificial intelligence-based solutions to help retailers protect margin, unlock sales, and cut shrink. With more than 20 years of retail data science expertise, the company’s Software-as-a-Service (SaaS) platform generates advanced analytical insights and real-time decisions that drive action throughout the organization, including operations, finance, marketing, and loss prevention. Its performance-improvement solutions yield measurable results with significant return on investment among retail store, ecommerce, and inventory functions. Appriss Retail serves a global base of leading specialty, apparel, department store, hard goods, big box, grocery, pharmacy, and hospitality businesses in more than 150,000 locations (brick and mortar and online) in 45 countries across six continents. For more information about Appriss Retail, visit https://apprissretail.com.","https://apprissretail.com","https://www.linkedin.com/company/appriss-retail/","https://nrfbigshow.nrf.com/company/appriss-retail"
"Aruba, a Hewlett Packard Enterprise company","Bronze Level Sponsor","San Jose","CA","United States","At Aruba, our mission is to deliver innovative solutions that harness data at the Edge, where the most dynamic customer experiences happen. For retail, this includes enabling touch-free shopping initiatives, understanding real-time insights for personalized customer engagement, supporting next-generation fulfillment operations, and leveraging IoT to drive better efficiencies. Aruba’s Edge Services Platform is the network foundation that makes these solutions and more possible. Define your Edge with Aruba.","http://www.arubanetworks.com","https://www.linkedin.com/arubanetworks","https://nrfbigshow.nrf.com/company/aruba-hewlett-packard-enterprise-company"
"AT&T Business","Bronze Level Sponsor","Dallas","TX","United States","Technology is complex. Transformation is fast. It can be difficult to know you’re making the right connectivity choices. With experience across retail, restaurant, hospitality, grocery, convenience and drug stores, AT&T Business brings a rich understanding of your business demands—no matter the size of your business—to help deliver the right insights, guidance, and solutions","https://linktr.ee/attbiz_retail","http://linkedin.com/showcase/attbusiness","https://nrfbigshow.nrf.com/company/att-business"
"Avanade, Inc.","Bronze Level Sponsor","Seattle","WA","United States","We help organizations do what matters     At Avanade, our vision is to advance the world through the power of people and Microsoft. Established over 20 years ago by Accenture and Microsoft, Avanade is uniquely positioned as a global leader across the Microsoft ecosystem. Every day our 60,000 people bring industry insights, unrivaled expertise and breadth of services to do what matters for our clients and their customers.   We define what matters. We help leaders identify and prioritize practical actions to embrace continual change.   We make what matters. We create relevant and enduring experiences to accelerate growth.   We power what matters. We deliver technology solutions that drive innovation, better workplaces, flexibility and security.","http://www.avanade.com","https://www.linkedin.com/company/avanade/","https://nrfbigshow.nrf.com/company/avanade-inc"
"Avery Dennison","Bronze Level Sponsor","Glendale","CA","United States","Avery Dennison Corporation (NYSE: AVY) is a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials. The company’s products, which are used in nearly every major industry, include pressure-sensitive materials for labels and graphic applications; tapes and other bonding solutions for industrial, medical, and retail applications; tags, labels and embellishments for apparel; and radio frequency identification (RFID) solutions serving retail apparel and other markets. Headquartered in Glendale, California, the company employs more than 32,000 employees in more than 50 countries. Reported sales in 2020 were $7.0 billion.  Learn more at www.averydennison.com","https://www.averydennison.com/en/home.html","","https://nrfbigshow.nrf.com/company/avery-dennison"
"Axsium Group","Bronze Level Sponsor","Toronto","ON","Canada","Axsium is the Workforce Management partner of choice for organizations that want to realize the potential of their workforce. We maximize the impact of your WFM solutions, increase the productivity of your people, support your operations team through every challenge you face, and empower you with our leading WFM and labor products. Swing by our booth for a free demo of Planara - our powerful new labour planning and analytics solution.","http://www.axsiumgroup.com","https://ca.linkedin.com/company/axsium-group","https://nrfbigshow.nrf.com/company/axsium-group"
"Bamboo Rose","Bronze Level Sponsor","Boston","MA","United States","Bamboo Rose is the leading multi-enterprise product and supply chain platform connecting companies to help bring great products to market faster, more efficiently, and at higher margins.  Our B2B platform simplifies the product creation and delivery process by combining a digital Marketplace with PLM, Sourcing, PO Management, Global Trade Management, and Financing solutions, all supported by intelligent engines for optimization, costing, and scheduling.  Bamboo Rose serves over 250K user members, 400 brands, and 35K suppliers and service providers throughout the world, allowing them to discover, develop, and deliver products at digital speed. Learn more at bamboorose.com, or find us on Twitter at @GoBambooRose.","https://www.bamboorose.com/","https://www.linkedin.com/company/bamboorose/","https://nrfbigshow.nrf.com/company/bamboo-rose"
"Bank of America","Bronze Level Sponsor","Charlotte","NC","United States","","https://www.bofa.com ","https://www.linkedin.com/company/bank-of-america-business/","https://nrfbigshow.nrf.com/company/bank-america"
"Board International","Bronze Level Sponsor","Boston","MA","United States","Board is the Intelligent Planning Platform, that offers smarter planning, actionable insights and better outcomes for more than 2,000 companies worldwide. Board allows leading enterprises to discover crucial insights which drive business decisions and unify strategy, finance and operations to plan smarter and achieve full control of performance. Partnering with Board, global enterprises such as H&M, BASF, Burberry, Toyota, Coca-Cola, KPMG, and HSBC have digitally transformed their planning processes.  Founded in 1994, and now with 25 offices worldwide, Board International has long been recognized by leading analysts and subject matter experts including Gartner, Nucleus, and Dresner.","http://www.board.com","https://www.linkedin.com/company/98246/admin/","https://nrfbigshow.nrf.com/company/board-international"
"Brierley","Bronze Level Sponsor","Frisco","TX","United States","Brierley is transforming loyalty around the world, turning client challenges into successful and profitable loyalty program solutions. We bring together innovative thought leadership, unparalleled expertise, and advanced technologies to help brands win customers’ hearts and minds.  Brierley offers the full breadth of services to drive unprecedented loyalty success: program design, strategy, research, analytics, customer insights, creative, and digital solutions. In addition, Brierley’s intuitive platform — LoyaltyOnDemand® — empowers everything a loyalty program demands to engage customers across every channel and touchpoint. It represents a powerful evolution in loyalty technology, continuously evolving with new features to keep programs on the leading edge.  Experts you can count on. Solutions you can trust. Success you can measure.","https://www.brierley.com","https://www.linkedin.com/company/brierley/","https://nrfbigshow.nrf.com/company/brierley"
"Brink's","Bronze Level Sponsor","Coppell","TX","United States","Brink’s has been synonymous with security and trust since our beginnings in 1859. Today, Brink's is a leading provider of technology-based cash management solutions, simplifying our customers' physical cash handling processes into a few secure and accessible steps. We also take pride in offering route-based secure logistics and payment solutions, including cash-in-transit, ATM services, and international transportation of valuables.  Every Brink’s solution and service is designed to provide the highest level of support and account management to each of our customers. In striving for continuous improvement, we’re always aiming to refine and enhance the quality of our service for the future.","http://www.us.brinks.com","","https://nrfbigshow.nrf.com/company/brinks"
"BSN, innovations in packaging | RFID","Bronze Level Sponsor","Guangdong Province","","China","Headquartered in Guangzhou, and with operations around the world, BSN offers local service in Packaging, Trims, Labels and RFID 'Item Level' tracking solutions. Founded in 1988, BSN now supplier more than 500 Apparel, Footwear and Supply Chain Organizations, located in 16 Countries. Through its technolgy division, BSN designs and produces RFID inlays and software solutions.  Building on its rapid success in this area, the company recently opened a purpose built 'state-of-the0art' RFID design and production Technology Center.  For more information you can visit us at our Booth #5669 or at www.gzbsn.com","http://www.gzbsn.com","","https://nrfbigshow.nrf.com/company/bsn-innovations-packaging-rfid"
"Cargomatic","Bronze Level Sponsor","Long Beach","CA","United States","Cargomatic offers on-demand logistics capacity to power today’s on-demand economy. Operating a digital marketplace of more than 35,000 professional truck drivers, Cargomatic applies proprietary technology to connect freight with capacity every mile of the journey, from port to warehouse to store to customer, providing shippers – including the country’s ten largest retailers – with robust transportation solutions for their ‘Just-in-time’ as well as ‘Just-in-case’ needs.With deep experience in retail supply chain logistics and technology, Cargomatic has built a transparent and automated network of networks that is constantly optimized with real-time data for all users, including small businesses, logistics service providers, manufacturers, and approximately 80 percent of the top retail importers in the U.S. Cargomatic’s flexible all-in-one solution helps customers build and manage a nimble and resilient supply chain network that adapts to fast-changing customer demands, mitigates risks, and controls costs.The company’s self-service platform, Cargomatic Command, allows shippers to post loads and find carriers instantly; 90 percent of the loads posted to their marketplace are accepted within four hours, making Cargomatic a same-day solution. The platform also standardizes, automates and expedites back-office functions, such as compliance, real-time billing and payables, and accessorial approvals; automated and touchless operations reduce administrative costs by three to five percent, while offering real-time status updates and granular visibility to deliver exceptional customer experiences in this demand-driven environment.Cargomatic’s U.S. footprint encompasses more than 40 markets, including each of the country’s top sea and rail ports.","http://www.cargomatic.com","https://www.linkedin.com/company/cargomatic/","https://nrfbigshow.nrf.com/company/cargomatic"
"CDW","Bronze Level Sponsor","Vernon Hills","IL","United States","","http://www.cdw.com","","https://nrfbigshow.nrf.com/company/cdw"
"CI&T","Bronze Level Sponsor","8th Fl","CA","United States","","","","https://nrfbigshow.nrf.com/company/cit"
"CITCON Inc.","Bronze Level Sponsor","Santa Clara","CA","United States","Many payment methods. Easy integration. One reconciliation.  Founded in 2015, Citcon’s fintech platform enables seamless global commerce at scale by connecting the world’s businesses with more than 150+ mobile wallets, local payment schemes, cryptocurrency and traditional credit cards - all through one simple integration. Citcon also integrates with POS and ecommerce systems such as Toshiba, Oracle, Cegid, Magento and SAP and is currently deployed at more than 30,000 merchants' sites and locations, including major brands such as L’Oreal, Tumi, Texas Instruments, Revolve, Macy’s, and Panda Express.  In October 2021, Citcon closed a $30MM Series C funding round. The company is backed by leading global investors Norwest Venture Partners, Cota Capital, Sierra Ventures, Sonae, and East-West Bank. Citcon has five regional offices in the US, Canada, Europe, and Asia to service its global clientele. Learn more at https://www.citcon.com.","http://www.citcon.com","https://www.linkedin.com/company/citcon/","https://nrfbigshow.nrf.com/company/citcon-inc"
"Cover Genius","Bronze Level Sponsor","New York","NY","United States","Cover Genius is the insurtech for embedded protection. Together, we protect the global customers of the world’s largest digital companies including Booking Holdings, owner of Priceline and Booking.com, Intuit, Hopper, Skyscanner, Ryanair, Turkish Airlines, Descartes ShipRush, Zip and SeatGeek. We’re also available at Amazon, Flipkart, eBay, Wayfair and SE Asia’s largest company, Shopee. Cover Genius’ vision is to protect all the customers of the world’s largest online companies through XCover, an award-winning global distribution platform for any line of insurance or warranty, with an API for instant claims payments that holds an industry-leading NPS of +65‡.  Cover Genius and its partners co-create solutions that embed protection that’s licensed or authorized in over 60 countries and all 50 US States.   ‡The score includes any type of claim and claim outcome across our partner network except for those partners with less than 30 claims and those not assessed by Cover Genius.","http://www.covergenius.com","https://www.linkedin.com/company/cover-genius/","https://nrfbigshow.nrf.com/company/cover-genius"
"Databricks","Bronze Level Sponsor","San Francisco","CA","United States","Databricks is the lakehouse company. More than 7,000 organizations worldwide — including Comcast, Condé Nast, and over 50% of the Fortune 500 — rely on the Databricks Lakehouse Platform to unify their data, analytics and AI. Databricks is headquartered in San Francisco, with offices around the globe. Founded by the original creators of Apache Spark™, Delta Lake and MLflow, Databricks is on a mission to help data teams solve the world’s toughest problems. To learn more, follow Databricks on Twitter, LinkedIn and Facebook.","http://www.databricks.com","https://www.linkedin.com/company/databricks","https://nrfbigshow.nrf.com/company/databricks"
"Elastic Path","Bronze Level Sponsor","Boston","MA","United States","Elastic Path powers mission-critical digital commerce for the world’s leading brands, such as Intuit, Pella, Deckers Brands, T-Mobile, and over 250 other leading enterprises. As relentless innovators, Elastic Path pioneered the Headless Commerce space in 2011 and spearheaded Composable Commerce in 2020. Elastic Path provides industry-leading headless commerce solutions for digitally-driven brands to rapidly build, deploy, and continuously optimize highly differentiated commerce experiences.  Elastic Path is a global company with offices in Boston, Newcastle, Reading, Toronto, and Vancouver. Learn more at www.elasticpath.com.","http://www.elasticpath.com","https://www.linkedin.com/company/elastic-path/","https://nrfbigshow.nrf.com/company/elastic-path"
"Elo","Bronze Level Sponsor","Milpitas","CA","United States","As a leading global supplier of interactive solutions, #EloIsEverywhere.  To date, we have deployed more than 25 million installations in over 80 countries. A new Elo touchscreen is installed every 21 seconds, on average, somewhere in the world. Built on a unified architecture, Elo’s broad portfolio allows our customers to easily Choose, Configure and Connect & Control to create a unique experience. Choose from all-in-one systems, open-frame monitors and touchscreen monitors ranging from 10 to 70 inches. Configure with our unique Elo Edge Connect peripherals that allow use-specific solutions. Connect & Control with EloView®, a secure cloud-based platform for Android-powered devices. EloView enables secure deployment and management of a large network of interactive systems designed to reduce operating costs while increasing up-time and security.      Consumers can find Elo touchscreen solutions in self-service kiosks, point-of-sale terminals, interactive signage, brand experiences, price checkers, product finders, hospitality systems, point-of-care displays and transportation applications — just to name a few.     Learn more at EloTouch.com.","http://www.elotouch.com","https://www.linkedin.com/company/elotouch","https://nrfbigshow.nrf.com/company/elo"
"Esri","Bronze Level Sponsor","Redlands","CA","United States","Esri, the global market leader in geographic information system (GIS) software, location intelligence, and mapping, helps customers unlock the full potential of data to improve operational and business results. Founded in 1969 in Redlands, California, USA, Esri software is deployed in more than 350,000 organizations globally and in over 200,000 institutions in the Americas, Asia and the Pacific, Europe, Africa, and the Middle East, including Fortune 500 companies, government agencies, nonprofits, and universities. Esri has regional offices, international distributors, and partners providing local support in over 100 countries on six continents. With its pioneering commitment to geospatial information technology, Esri engineers the most innovative solutions for digital transformation, the Internet of Things (IoT), and advanced analytics.","http://www.esri.com","https://www.linkedin.com/groups/4706138/","https://nrfbigshow.nrf.com/company/esri"
"FarEye","Bronze Level Sponsor","Chicago","IL","United States","FarEye’s Intelligent Delivery platform turns deliveries into a competitive advantage. Retail, e-commerce and logistics companies use FarEye’s unique combination of orchestration, real-time visibility, and branded customer experiences to simplify complex last mile delivery logistics. The FarEye platform allows businesses to increase consumer loyalty and satisfaction, reduce costs and improve operational efficiencies. FarEye has 150+ customers across 30 countries and five offices globally. FarEye, First Choice for Last Mile.     To find out more visit www.fareye.com","","https://www.linkedin.com/company/fareye/","https://nrfbigshow.nrf.com/company/fareye"
"Givex","Bronze Level Sponsor","Toronto","ON","Canada","Givex operates in over 55 countries, having processed more than 16 billion transactions since 1999, across a wide array of industries. The Givex Platform provides the tools that drive customer engagement while also accelerating operational efficiency, through a merchant’s physical, online and mobile sales channels. Using Givex, all these channels generate the valuable and actionable data, protected by the maximum PCI security standards, that is crucial to maintain a competitive advantage in today's fast moving economy.","http://www.givex.com","","https://nrfbigshow.nrf.com/company/givex"
"Google","Bronze Level Sponsor","Mountain View","CA","United States","Google helps retailers solve some of the most complex challenges across the retail value chain, unlocks new opportunities for growth, and innovates with you in a rapidly shifting industry landscape. Our various products -- including Google Cloud, Google Shopping, Chrome, Android, Google Assistant for Enterprise -- can help with retail business challenges via seamless, integrated out-of-the-box or custom solutions. This expertise, combined with our large ecosystem of partners, can help you succeed in a shifting retail landscape, whether you are looking to transform an entire business model or address specific segments of the retail value chain.","http://www.google.com","","https://nrfbigshow.nrf.com/company/google"
"HP Inc.","Bronze Level Sponsor","Palo Alto","CA","United States","As the world's largest technology company, HP creates new possibilities that help you enable a more seamless shopping experience for your customers. HP brings together a portfolio that spans mobility, printing, hardware, software, services, and IT infrastructure that enable you to empower your employees and better serve your customers. HP is a member of The Association for Retail Technology Standards (ARTS). www.hp.com/go/retail","http://www.hp.com","","https://nrfbigshow.nrf.com/company/hp-inc"
"Hughes Network Systems","Bronze Level Sponsor","Germantown","MD","United States","Hughes provides tailored managed services and smart connectivity for the new world of retail. Our fully-managed networking and digital signage and cloud-enabled employee communication and training solutions transform retail organizations into better-connected, customer-focused enterprises, no matter where your locations are.   Hughes services simplify IT, drive efficiency, and help deliver business success. We combine the most sophisticated SD-WAN and automation technologies with superior customer support to deliver a zero-touch configuration, installation, and operation environment for our clients. In addition, our digital signage solutions streamline employee training and better connect your business with its customers.   With one expert partner providing all network and digital media needs, Hughes’ customers spend more time growing their business and less time managing their IT.   Managed Services, Managed Smarter www.hughes.com/nrf","http://www.hughes.com/nrf","https://www.linkedin.com/company/hughesconnects","https://nrfbigshow.nrf.com/company/hughes-network-systems"
"Invent Analytics","Bronze Level Sponsor","Philadelphia","PA","United States","Invent Analytics’ Omni-AI delivers significant financial improvement by empowering retailers to profit-optimize their supply chain. It orchestrates a retailer’s entire supply chain by unifying network planning, inventory and price optimization, and fulfillment in one framework. Invent Analytics puts your omni-customers at the heart of its tailor-fit solutions. It proves the financial benefits with pre-go-live simulations and rigorous A/B testing. Invent Analytics’ over 30 clients have experienced a 2-6% increase in profitability. Invent Analytics’ solutions are: Omni-Network Design Omni-Plan Suite Demand Forecasting Store and DC Replenishment Optimization Allocation Optimization Transfer Optimization Markdown Optimization Assortment Optimization Dynamic and Competitive Price Optimization  Omni-Fulfilment Invent Analytics has been named as a representative vendor in Gartner 2022 Market Guides, including Retail Forecasting, Allocation and Replenishment Solutions and Retail Unified Price, Promotion and Markdown Optimization Applications – Short Life Cycle.  Visit www.inventanalytics.ai for more information.","https://www.inventanalytics.com/","https://www.linkedin.com/company/invent-analytics","https://nrfbigshow.nrf.com/company/invent-analytics"
"Israel Export Institute","Bronze Level Sponsor","Tel-Aviv","","Israel","The Israel Export & International Cooperation Institute The Israel Export & International Cooperation Institute, a non-profit organization supported by the government of Israel and the private sector, facilitates business ties, joint ventures and strategic alliances between overseas and Israeli companies.  Charged with promoting Israel’s business community in foreign markets, it provides comprehensive, professional trade information, advice, contacts and promotional activities to Israeli companies, and complementary services to business people, commercial groups, and business delegations from abroad.","https://www.export.gov.il/en/abouteconomy/aboutus/ieiaboutus","","https://nrfbigshow.nrf.com/company/israel-export-institute"
"Jesta I.S.","Bronze Level Sponsor","Montreal","QC","Canada","In business for more than 50 years, Jesta I.S. is a global innovator, developer and provider of enterprise software solutions for leading retailers, e-tailers, wholesalers and brand manufacturers specializing in apparel, footwear, and hard goods.  The Vision Suite is a leading, organically engineered, cloud-based, end-to-end solution platform that unifies and optimizes back & front end and supply chain operations from trade, product demand management to merchandising, POS and OMS/OMNI.  Jesta has been at the forefront of many digital transformations. By leveraging our unified commerce platform powered by AI-driven analytics, our clients attain real-time insights on customers across all channels. Armed with personalized views, businesses are able to segment shoppers and capitalize on system-suggested opportunities for converting them into loyal, 21st century brand ambassadors. The Vision Suite eliminates the inefficiencies of disjointed applications and provides real-time visibility of inventory, cross-channel orders, and AI-driven CRM data.  It helps create seamless omnichannel shopping experiences and supports multiple brands, countries","http://www.jestais.com","https://www.linkedin.com/company/jesta-i-s-","https://nrfbigshow.nrf.com/company/jesta"
"JumpMind, Inc.","Bronze Level Sponsor","Columbus","OH","United States","JumpMind Commerce POS helps retailers design unified, seamless omnichannel experiences across every customer touch point. Built on microservices business logic, JumpMind Commerce's framework gives users the freedom to create robust, reusable, and modular services molded around their unique needs. The platform enables retailers to seamlessly evolve as the industry changes.   JumpMind Commerce is a modernization path leading to a full platform destination. It is a one-platform solution with experiences that include:  Fixed POS Mobile POS Self-checkout Customer Display BYOD - Consumer Self Scan Omni Services for Promotions, Pricing, Returns, etc.   Experiences in the JumpMind Commerce suite are web-based, responsive, and built on top of our enterprise-class microservices and data synchronization architecture. JumpMind Commerce is the complete solution for retailers looking to be agile, flexible, and save on resources at POS.","http://commerce.jumpmind.com","https://www.linkedin.com/company/jumpmind-inc/","https://nrfbigshow.nrf.com/company/jumpmind-inc"
